dataset_x64_128_20000_2000_0_184.bin

====================
Dataset parameters
====================

Dimensions			128
Node count			20000
Query count			2000
K to return			200
Min value			0
Max value			184

powf() used			No
sqrtf() used			No

===================
Graph parameters
===================

ef				100
m				20
mmax				40
ml				0.330

Heuristic used			No
Candidates extended		No
Pruned kept			No

Build time			11.627
Bruteforce search time		7.398

=====================
Approximate searches
=====================

ef			ef : k ratio		time			median accuracy
25			0.125			0.490			12.500
50			0.250			0.785			25.000
75			0.375			1.100			37.500
100			0.500			1.350			50.000
125			0.625			1.601			62.500
150			0.750			1.851			68.000
175			0.875			2.144			72.000
200			1.000			2.390			75.000
225			1.125			2.604			77.500
250			1.250			3.009			80.000
275			1.375			3.011			82.000
300			1.500			3.202			83.500
325			1.625			3.392			85.000
350			1.750			3.572			86.000
375			1.875			3.751			87.000
400			2.000			3.938			88.000
425			2.125			4.101			89.000
450			2.250			4.281			90.000
475			2.375			4.493			90.500
500			2.500			4.769			91.000
525			2.625			4.940			91.500
550			2.750			5.177			92.000
575			2.875			5.223			92.500
600			3.000			5.390			93.000
625			3.125			5.541			93.500
650			3.250			5.658			94.000
675			3.375			5.815			94.500
700			3.500			5.999			94.500
725			3.625			6.078			95.000
750			3.750			6.199			95.000
775			3.875			6.368			95.500
800			4.000			6.495			95.500
825			4.125			6.592			96.000
850			4.250			6.748			96.000
875			4.375			6.898			96.000
900			4.500			7.001			96.500
925			4.625			7.064			96.500
950			4.750			7.170			96.500
975			4.875			7.302			97.000
1000			5.000			7.429			97.000
